analysisengin, uima, provid, return, licens, apach, distribut, file, asf, softwar, 
guard, music, symbol, lot, utf, clef, valu, eighth, byte, zero, 
listen, regist, effect, wrap, close, sure, reader, explicitli, ha, make, 
5128, meaning, searchaft, maxdoc, exce, messag, ok, optim, throw, count, 
sipcsegmentinfo, cmdline, now, src, unreferenc, segment, split, commit, directli, expect, 
commit, nrt, interrupt, delet, iw, open, segment, lucen, sure, doc, 
commit, writer, iw, open, close, unawar, abort, 1274, reader, retri, 
indexwriterconfig, getter, expect, indexingchain, ok, iwc, setter, constant, declar, test, 
delet, flush, doc, deleteal, disk, appli, test, commit, buffer, del, 
norm, 6379, disabl, omitnorm, life, matchalldocsqueri, confirm, come, fact, longer, 
close, good, workflow, exc, forcefulli, abort, sure, corrupt, hit, make, 
abort, reproduc, now, just, try, reopen, keep, ok, codec, broken, 
forcemerg, merg, bigger, wait, memorypf, problem, size, 1x, thing, space, 
nrt, commit, rollback, stale, writer, reader, pull, exc, easili, iw, 
715, patch, doe, issu, releas, lock, indexwrit, yet, try, open, 
6299, expect, 11th, fail, iw, lucen, disk, 64kb, doc, bypass, 
merg, invari, mergefactor, case, segment, polici, trigger, check, test, add, 
forcemergedelet, 325, merg, adjac, +temp, getfield, +i+, 2006, lucen, singular, 
licens, distribut, file, apach, asf, softwar, mai, see, agreement, contributor, 
disk, space, addindex, sure, make, free, hit, ad, indexwrit, pollut, 
fork, crash, run, checkindex, imperson, jvm, 3992, corrupt, getdefault, index, 
ensur, oom, made, isclos, sometim, wtf, doc, exceptionstream, anywher, payload, 
setrandomioexceptionrateonopen, dir, rate, leftov, kiss, messageid, ltc, enabl, numdocs=, verifi, 
reader, nrt, adddirthread, writer, numit, commit, td, close, iw, getread, 
thread, flush, cycl, 5644, index, segment, doc, concurr, mani, forev, 
surrog, unpair, 510, pair, illeg, segment, high, singl, low, abov, 
1130, ioexcept, thread, writeseg, ok, abort, dure, printstacktrac, lucen, sure, 
5611, silli, wo, show, core, document, lucen, expect, offset, store, 
indicnorm, ta, basic, test, normal, licens, distribut, file, apach, asf, 
stopword, test, stem, hebrew, classpath, npe, exclus, blast, miss, unicod, 
indonesian, stem, inflect, ensur, mode, filter, test, bogu, argument, factori, 
inflect, stem, indonesianstemm, exampl, paper, suffix, detail, best, stopword, analysi, 
infostream, ask, indexwrit, test, thei, point, need, licens, distribut, file, 
wrapper, payload, iter, unsort, sort, test, context, licens, distribut, without, 
licens, distribut, file, apach, asf, softwar, mai, see, agreement, contributor, 
pick, intblockpool, reader, int, basic, function, test, licens, distribut, file, 
licens, distribut, file, apach, asf, softwar, mai, see, agreement, contributor, 
licens, distribut, file, apach, asf, softwar, mai, see, agreement, contributor, 
stopword, test, elisionfilt, stem, hyphen, hebrew, classpath, npe, exclus, blast, 
lowercas, irish, test, filter, licens, distribut, file, apach, asf, softwar, 
irish, lowercas, bogu, argument, ensur, factori, test, simpl, filter, result, 
up2dat, reader, assert, stale, document, testcas, show, ha, deleteal, troubl, 
stopword, test, elisionfilt, stem, hebrew, classpath, npe, exclus, blast, miss, 
italianlightstemfilt, vocabulari, blast, impl, refer, test, analyz, simpl, random, string, 
italian, light, bogu, argument, stem, ensur, factori, test, simpl, result, 
junit, hook, befor, invok, rule, 10, verifi, empti, case, ar, 
jakartaregexpcap, testcas, licens, distribut, file, apach, asf, softwar, mai, see, 
inc, 3897, po, senior, airport, zero, analyz, trip, string, found, 
licens, distribut, file, apach, asf, softwar, mai, see, agreement, contributor, 
japanesebaseformfilterfactori, bogu, argument, test, simpl, result, licens, distribut, file, apach, 
iter, repetit, dakuten, kanji, variant, kana, test, mark, emit, unvoic, 
japaneseiterationmarkcharfilterfactori, bogu, argument, test, simpl, result, licens, distribut, file, apach, 
katakana, width, coffe, japanesekatakanastemfilt, sinc, sound, full, kuromoji, spell, mocktoken, 
パーティ�, stem, コピ�, japanesekatakanastemfilterfactori, bogu, argument, test, simpl, result, licens, 
japanesepartofspeechstopfilterfactori, bogu, argument, test, simpl, result, licens, distribut, file, apach, 
testjapanesereadingformfilt, test, licens, distribut, file, apach, asf, softwar, mai, see, 
japanesereadingformfilterfactori, bogu, argument, test, simpl, result, licens, distribut, file, apach, 
ts, noncompoundcount, tokenstream, compoundcount, addattribut, offsetatt, final, test, analyz, abcdefghij, 
mode, test, japanesetokenizerfactori, punctuat, preserv, dictionari, enabl, bogu, user, paramet, 
licens, distribut, file, apach, asf, softwar, mai, see, agreement, contributor, 
expect, quot, escap, doubl, unescap, singl, var, backslash, kept, remain, 
licens, distribut, file, apach, asf, softwar, mai, see, agreement, contributor, 
licens, distribut, file, apach, asf, softwar, mai, see, agreement, contributor, 
join, product, randomrealisticunicodestr, search, termswithscorecollector, mode, score, testutil, avg, topdoc, 
kstem, bogu, argument, ensur, factori, test, simpl, filter, result, licens, 
kstemmer, tf, kstem, testcreatemap, map, kei, new, bufferedwrit, containskei, string, 
licens, distribut, file, apach, asf, softwar, mai, see, agreement, contributor, 
bogu, argument, result, test, licens, distribut, file, apach, asf, softwar, 
keepwordfilt, blast, stopword, forc, test, analyz, now, random, case, string, 
q36, querypars, partnum, perfieldanalyzerwrapp, analyz, scoredoc, assertequ, descript, +partnum, queri, 
2901, keywordmarkerfilt, testcas, lucen, licens, distribut, file, apach, asf, softwar, 
keyword, marker, bogu, argument, ensur, factori, test, simpl, filter, result, 
licens, distribut, file, apach, asf, softwar, mai, see, agreement, contributor, 
cach, memori, usag, core, evict, searcher1, ramusagetest, kei, follow, lookup, 
inde, honor, recent, got, three, remain, map, last, remov, object, 
cach, evict, memori, usag, core, searcher1, scorer, ramusagetest, kei, foo, 
licens, distribut, file, apach, asf, softwar, mai, see, agreement, contributor, 
stopword, test, stem, hebrew, classpath, npe, exclus, blast, miss, unicod, 
latvian, bogu, argument, stem, ensur, factori, test, simpl, result, licens, 
sing, pl, nom, loc, dat, gen, indef, acc, fem, masc, 
lazi, load, never_load, lazydoc, field, noop, now, fieldnam, valu, shouldn, 
term2, term1, seek, proxstream, decor, number, add, document, contain, wrapper, 
leak, via, newinputstream, test, newoutputstream, asynchronousfilechannel, filechannel, open, basic, licens, 
valid, argument, constructor, check, licens, distribut, file, apach, asf, softwar, 
argument, result, invalid, bogu, test, licens, distribut, except, file, apach, 
cost, charact, accept, automaton, count, distanc, transposit, arrai, diagon, string, 
licens, distribut, file, apach, asf, softwar, mai, see, agreement, contributor, 
consumeal, assertanalyzesto, consum, can, otherwis, dont, behav, end, token, check, 
licens, distribut, file, apach, asf, softwar, mai, see, agreement, contributor, 
param, bogu, argument, result, test, licens, distribut, requir, file, apach, 
erron, endoffset, fail, instead, filter, note, test, licens, distribut, file, 
param, bogu, argument, result, test, licens, distribut, requir, file, apach, 
indubit, consumeal, assertanalyzesto, consum, 4th, can, otherwis, word, emit, behav, 
consum, can, otherwis, token, check, bogu, argument, ar, result, test, 
stopword, classpath, npe, stemmer, test, blast, miss, fail, analyz, remov, 
sg, pl, loc, nom, dat, acc, gen, voc, sing, decl, 
rt, addupd, refresh, updat, thread, id, println, size, system, time, 
lock, nolockfactori, verifi, commit, indexwrit, noth, right, rais, ramdirectori, lockfactori, 
licens, distribut, file, apach, asf, softwar, mai, see, agreement, contributor, 
200000, 1l, bit, 2000, <<, 31, aa, variou, grow, test, 
norm, overlap, fieldinvertstate#getlength, zero, round, discount, implement, expon, org, token, 
termenum, s2, s1, ch=0x, idx++, idx, println, charat, tohexstr, system, 
licens, distribut, file, apach, asf, softwar, mai, see, agreement, contributor, 
block, blockpostingsformat, prefix, root, exactli, sub, skip, final, sure, two, 
3382, manipul, manual, compound, deleg, correctli, directori, lucen, test, licens, 
lucene40docvaluesformat, 4583, iae, codec, huge, doesnt, miss, binari, throw, support, 
dv, fieldinfo, type, expos, three, previous, record, impl, attribut, via, 
import, org, tmpundeadnorm, jar, lucen, snapshot, createundeadnorm, new, stringfield, lucene_40, 
lucene40postingsformat, test, licens, distribut, file, apach, asf, softwar, mai, see, 
100%, checkindex, field, heavili, delet, bodi, titl, text, cross, probabl, 
lucene40infoformat, bugfix, id, support, wrote, stai, releas, don, safe, side, 
licens, distribut, file, apach, asf, softwar, mai, see, agreement, contributor, 
licens, distribut, file, apach, asf, softwar, mai, see, agreement, contributor, 
seekexact, sequenti, bytesref, seekceil, codec, random, lucene410docvaluesformat, hungri, dvf, ord, 
decod, encod, licens, distribut, file, apach, asf, softwar, mai, see, 
blocksiz, checkindex, ttf, df, test, blockpostingsformat, tv, term, coverag, ourselv, 
freq, check, differ, advanc, term, payload, truncat, cross, sequenti, assert, 
slice, block, make, 32kb, small, chunksiz, larg, doc, distinct, explicit, 
lucene42docvaluesformat, doesnt, miss, codec, support, empti, string, test, licens, distribut, 
four, dv, fieldinfo, type, support, format, lucen, onli, test, licens, 
import, org, jar, lucen, snapshot, createundeadnorm, new, stringfield, lucene_42, ant, 
licens, distribut, file, apach, asf, softwar, mai, see, agreement, contributor, 
lucene45docvaluesformat, test, licens, distribut, file, apach, asf, softwar, mai, see, 
sorted_numer, rev, didnt, minor, fieldinfo, done, initi, support, format, actual, 
support, lucene46infoformat, don, attribut, bugfix, id, wrote, stai, releas, safe, 
import, org, jar, lucen, snapshot, createundeadnorm, new, stringfield, lucene_46, ant, 
split, ts, increment, largegap, tok, russian, currenttimemilli, worddelimiterfilt, don, stringread, 
lucene49docvaluesformat, test, licens, distribut, file, apach, asf, softwar, mai, see, 
import, org, jar, lucen, snapshot, createundeadnorm, new, stringfield, lucene_4_9, ant, 
licens, distribut, file, apach, asf, softwar, mai, see, agreement, contributor, 
lucene50fieldinfoformat, test, licens, distribut, file, apach, asf, softwar, mai, see, 
lucene50segmentinfoformat, test, licens, distribut, file, apach, asf, softwar, mai, see, 
licens, distribut, file, apach, asf, softwar, mai, see, agreement, contributor, 
expect, param, checkindex, compress, leav, noth, break, old, chang, segment, 
licens, distribut, file, apach, asf, softwar, mai, see, agreement, contributor, 
lucene53normsformat, test, licens, distribut, file, apach, asf, softwar, mai, see, 
sequenti, seekexact, random, bytesref, access, seekceil, codec, hungri, dvf, ord, 
lucenedictionari, coupl, come, right, back, iter, word, differ, text, simpl, 
heavi, mani, term, wai, 4398, occur, doc, oom, next, singl, 
=>, llll, offset, map, ll, 01234567890123456789012, aa, cc, bbb, input, 
bogu, argument, result, test, licens, distribut, file, apach, asf, softwar, 
artifici, skipto, matchalldocsqueri, trigger, queri, test, us, null, null, null, 
matchnodocsqueri, booleanqueri, rewrit, empti, test, null, null, null, null, null, 
==, atanh, asinh, nan, +0, positive_infin, acosh, negative_infin, inf, math, 
failur, assumpt, success, testruleignoreaftermaxfailur, cheat, lucki, ignor, seed, exactli, realli, 
foo, visibl, pos=max, appear, 6382, posit, overflow, document, max, expect, 
import, snapshot, buildmaxpositionindex, jar, maxposindex, t2, org, t1, lucen, zip, 
maxtermfrequ, fieldinvertst, max, lettertoken, 255, expect, bunch, fine, whole, tostr, 
memorydocvaluesformat, test, licens, distribut, file, apach, asf, softwar, mai, see, 
offsetspayload, similar, memoryindex, freez, can, check, norm, combin, init, tokenstream, 
random, memoryindex, 3831, ramdirectori, term, 250, reus, half, queri, run, 
dopack, memorypostingsformat, random, todo, test, licens, distribut, file, apach, asf, 
licens, distribut, file, apach, asf, softwar, mai, see, agreement, contributor, 
trigger, flush, hidden, api, ms, extern, therefor, don, packag, anyth, 
cleanli, merg, build, thei, list, now, random, get, check, number, 
minshouldmatch, vari, giant, eas, querynorm, medium, bq, term, advanc, debug, 
minim, hopcroft, compar, n^2, thei, ar, slower, usag, impl, space, 
aggress, simpletext, half, mix, impl, codec, delet, format, sure, differ, 
currentthread, getnam, updat, println, system, thread, reopen, nrt, ctrlvalu, reader, 
mmapdirectori, test, licens, distribut, file, apach, asf, softwar, mai, see, 
configur, behav, lot, test, like, token, emit, partial, charact, 5153, 
licens, distribut, file, apach, asf, softwar, mai, see, agreement, contributor, 
mdw, succe, directori, writebyt, copybyt, written, nightli, manipul, buffer, count, 
mlt, seri, 3326, morelikethisqueri, equalshashcod, topn, add, df, decreas, idf, 
stem, test, lemma, morfologikfilt, morfologik, metric, librari, token, annot, leftov, 
morfologikfilterfactori, bogu, argument, test, result, licens, distribut, file, apach, asf, 
licens, distribut, file, apach, asf, softwar, mai, see, agreement, contributor, 
licens, distribut, file, apach, asf, softwar, mai, see, agreement, contributor, 
licens, distribut, file, apach, asf, softwar, mai, see, agreement, contributor, 
phrase, slop, brown, quick, multi2, super, default, posit, modifi, token, 
qp, multi2, ~99, phrase, slop, multi, bar, brown, bar\, quick, 
licens, distribut, file, apach, asf, softwar, mai, see, agreement, contributor, 
licens, distribut, file, apach, asf, softwar, mai, see, agreement, contributor, 
check, ord, dup, valu, tri, testsortedset, multidocvalu, versu, ordinari, list, 
qtxt, expect, arrai, differ, field, length, stop, check, static, form, 
multifieldquerypars, qtxt, expect, arrai, differ, field, length, stop, check, static, 
assertequ, nextdoc, doc, getlivedoc, nomergepolici, docid, multifield, no_more_doc, _testutil, expect, 
skip, level, testcas, freqstream, cover, read, byte, indexinput, reduc, sever, 
clone, slice, pass, buffer, chunksiz, switch, read, byte, offset, test, 
round, split, robin, sequenti, error, delet, test, sure, make, doc, 
union, unionpostingsenum, test, document, simpl, licens, distribut, file, apach, asf, 
pizza, mpq, +bodi, phrase, sd, manual, mode, queri, blue, logic, 
licens, distribut, file, apach, asf, softwar, mai, see, agreement, contributor, 
setup, macro, hit, build, readabl, match, doc, unbound, note, keyword, 
simpleanalyz, natur, token, els, formatt, test, wrong, exact, bold, inclus, 
constantscorequeri, pq, dont, mix, larg, equal, wrap, score, duplic, later, 
sai, know, don, doc, can, return, comparison, 6826, ==, suppos, 
run, mtr, threadcount, vector, system, setnocfsratio, time, 100, writer, thread, 
numer, numericrangequeri, 1322, multipl, interfer, discuss, valu, classic, termrangequeri, per, 
solr, stream, fail, becaus, token, valu, licens, distribut, file, apach, 
prepar, taxonomi, writer, open, hand, facet, searcher, index, creat, reader, 
licens, distribut, file, apach, asf, softwar, mai, see, agreement, contributor, 
alon, implementaiton, leav, mutablevalu, consider, contract, variou, byte, bytesref, basic, 
licens, distribut, file, apach, asf, softwar, mai, see, agreement, contributor, 
gram, min, edgengramfilterfactori, ngramtokenizerfactori, test, max, option, ngram, size, bogu, 
=>, abbc, gram, bi, abcd, abbccd, abc, tri, test, licens, 
niofsdirectori, test, licens, distribut, file, apach, asf, softwar, mai, see, 
ja, lang, java, local, html#getbundl, classload, fallback, util, get, default, 
simplef, frag, listal, ramdir, totalhit, hit, sure, sinc, sync, becaus, 
window, 5574, still, disallow, open, blow, delet, simul, allow, act, 
+addcount, delcount, nextint, pool, println, system, reader, howev, re, open, 
opendeletedfil, numdocs=, numdoc, mix, dosearch, dir, congruent, warm, merg, pool, 
mock, easi, enough, via, basic, mayb, codec, found, want, test, 
ensurevalid, assumenoexcept, nativefslockfactori, ok, fail, lock, claus, lockfil, test, channel, 
w3, w1, howwhen, nearspan, yy, xx, t1, t2, demonstr, direct, 
licens, distribut, file, apach, asf, softwar, mai, see, agreement, contributor, 
score, needsscor, prohibit, sort, nest, param, exclud, booleanqueri, claus, insid, 
remov, nodeletionpolici, ir, worth, sure, window, referenc, ever, make, commit, 
licens, distribut, file, apach, asf, softwar, mai, see, agreement, contributor, 
nodeletionpolici, indexdeletionpolici, becom, idp, import, object, overriddenimpl, behaviorerror, getmethod, method, 
nomergepolici, mergepolici, object, behaviorerror, getmethod, unexpect, ensur, declar, overridden, visibl, 
nomergeschedul, mergeschedul, object, behaviorerror, getmethod, unexpect, ensur, declar, overridden, visibl, 
1260, norm, life, ourselv, addindex, adddocu, forcemerg, preserv, info, dure, 
stopword, test, stem, hebrew, classpath, npe, exclus, blast, miss, unicod, 
vocabulari, norwegianlightstemfilt, nynorsk, test, blast, analyz, simpl, random, string, licens, 
variant, stem, explicitli, bokmål, nynorsk, norwegian, test, light, bogu, argument, 
vocabulari, norwegianminimalstemfilt, bokmål, nynorsk, test, blast, analyz, simpl, random, string, 
variant, stem, explicitli, bokmål, nynorsk, norwegian, test, minim, bogu, argument, 
unit, similar, test, licens, distribut, file, apach, asf, softwar, mai, 
fixedbitset, wrap, sinc, licens, distribut, file, apach, asf, softwar, mai, 
updat, ndv, segment, currentthread, getnam, document, nrt, flush, delet, merg, 
date, year, syntax, pattern, inclus, standard, exclus, parser, era, disabl, 
licens, distribut, file, apach, asf, softwar, mai, see, agreement, contributor, 
rang, exclus, test, left, distanc, inclus, int2float, enum, 3314, constant, 
rang, exclus, test, left, distanc, inclus, long2doubl, enum, 3314, constant, 
licens, distribut, file, apach, asf, softwar, mai, see, agreement, contributor, 
retun, distanc, nodoc, seri, ascend, gener, shift, valu, descend, test, 
retun, distanc, nodoc, seri, field, ascend, gener, shift, valu, descend, 
getbytesref, pass, make, valu, set, licens, distribut, file, apach, asf, 
rang, prefixv, convers, forward, 0x, understand, precis, lower, unsign, tohexstr, 
worth, 100mb, mb, sort, 1mb, data, buffer, 1024, 20, sortinfo, 
norm, omitnorm, f2, f1, field, merg, multinorm, flush, forc, segmentmerg, 
docsfreq, docsfreqspo, doc, f6, f4, f3, f2, f1, docsfreqsposit, posit, 
score=, countinghitcollector, getcount, tf, doc=, omittermfreqandposit, println, system, field, merg, 
licens, distribut, file, apach, asf, softwar, mai, see, agreement, contributor, 
limitedfinitestringsiter, nfa, finitestringsiter, eas, string, concaten, test, product, adot, bric, 
licens, distribut, file, apach, asf, softwar, mai, see, agreement, contributor, 
licens, distribut, file, apach, asf, softwar, mai, see, agreement, contributor, 
facet, ordinalmappingleafread, id, binarydocvalu, dim, config, twice, appear, add, field, 
seekexact, test, ord, next, empti, get, string, term, licens, distribut, 
delet, document, licens, distribut, file, apach, asf, softwar, mai, see, 
test, mb, appendingdeltapackedlongbuff, header, reader, decod, rambytesus, comment, encod, valuecount, 
chartermattributestuff, test, licens, distribut, file, apach, asf, softwar, mai, see, 
pagedbyt, getdatainput, verifi, hole, random, byte, dir, memori, normal, reader, 
subread, refcount, parallelread, close, overlap, expect, structur, field, check, pass, 
refcount, parallelread, overlap, check, subread, close, field, noop, expect, pass, 
unpatch, crash, paralleltermenum, nosuchelementexcept, parallelread, caus, index, numdocs=0, ad, termvectorswrit, 
licens, distribut, file, apach, asf, softwar, mai, see, agreement, contributor, 
=================, enablepositionincr, rewritten, querypars, show, helper, parser, rewrit, initi, current, 
licens, distribut, file, apach, asf, softwar, mai, see, agreement, contributor, 
licens, distribut, file, apach, asf, softwar, mai, see, agreement, contributor, 
bb, aa, cc, dd, aa##bb, ccc, 012345678901234, 012345678, 11111, 01234567, 
012345678, cc, bb, aa, 01234567890123, 1111, test, bogu, argument, ensur, 
blast, analyz, random, string, null, null, null, null, null, null, 
bogu, argument, ensur, factori, test, simpl, result, licens, distribut, file, 
split, string, test, stream, +test, +i, er, termlength, 1mb, mappingcharfilt, 
patterntoken, bogu, argument, ensur, factori, test, simpl, result, creat, licens, 
infostream, span, small, payload, basic, right, writer, posit, system, just, 
w3, w1, zz, yy, xx, payloadtermqueri, w4, macro, docfield, focus, 
explain, payload, doc, score, system, println, hit, adjac, tostr, scoredoc, 
twenti, hundr, two, offsetlength, near, includespanscor, know, ~2, ignor, idf, 
licens, distribut, file, apach, asf, softwar, mai, see, agreement, contributor, 
rr, xx, within, span, subclaus, yy, complic, 2004, associ, underli, 
score, seventi, hit, thei, offsetlength, item, 2seventyhash, factor, hash, exact, 
payload, segmentmerg, field, enabl, test, skip, correctli, f3, flush, documentwrit, 
att, payload, expect, instanc, doc, field, licens, distribut, file, apach, 
pfaw, perfield, perfieldwrapp, wrap, delegatinganalyzerwrapp, corrumpt, fix, anoth, crazi, wrapper, 
only=tru, docvalu, randomindexwrit, trivial, somehow, come, respect, just, test, suffix, 
perfieldpostingsformat, basic, test, licens, distribut, file, apach, asf, softwar, mai, 
iwconf, getmergepolici, logmergepolici, heterogen, setmergefactor, codec, checkindex, pfpf, someth, 10, 
numramdoc, writer, segmentinfo, docwrit, println, system, +writer, deletestostr, asserttru, info, 
logic, test, alg, everi, definit, algorithm, execut, later, maker, doc, 
repetiot, pars, task, hack, hackedi, test, perf, parallel, script, sequenti, 
passiv, preterit, activ, imperfect, indic, pluperfect, present, perfect, progress, yeh, 
blast, analyz, random, string, licens, distribut, file, apach, asf, softwar, 
persian, normal, filter, test, licens, distribut, file, apach, asf, softwar, 
persian, ensur, normal, bogu, argument, factori, test, actual, text, simpl, 
fsync, persist, snapshot, sure, make, reli, save, ok, verifi, re, 
phoneticfilt, blast, analyz, random, string, test, null, null, null, null, 
reflect, default, caverphone2, caverphon, registri, case, regist, failur, packag, effect, 
phraseprefixqueri, piccadilli, query1, termenum, give, class, new, test, licens, distribut, 
phrase, palindrom, slop, sloppi, revers, three, exact, two, order, scorer, 
plaintextdictionari, case, test, licens, distribut, file, apach, asf, softwar, mai, 
licens, distribut, file, apach, asf, softwar, mai, see, agreement, contributor, 
stopword, stem, classpath, npe, exclus, test, blast, miss, fail, analyz, 
txt, martin, porterstemfilt, voc, porter, output, string, stemmer, blast, run, 
porter, stem, ensur, filter, bogu, argument, factori, test, actual, text, 
stopword, test, stem, hebrew, classpath, npe, exclus, blast, miss, unicod, 
portugueselightstemfilt, assess, impact, accuraci, exampl, vocabulari, test, paper, blast, impl, 
portugues, light, bogu, argument, stem, ensur, factori, test, simpl, result, 
portugueseminimalstemfilt, assess, impact, accuraci, vocabulari, paper, test, blast, impl, refer, 
portugues, minim, bogu, argument, stem, ensur, factori, test, simpl, result, 
portuguesestemfilt, assess, impact, accuraci, vocabulari, paper, test, blast, impl, refer, 
portugues, bogu, argument, stem, ensur, factori, test, simpl, result, licens, 
trivial, posit, class, licens, distribut, file, apach, asf, softwar, mai, 
posit, phrase, search, span, exist, \ngetspan, term, cannedtokenstream, previou, specifi, 
<=, positiveonlyscoresfilt, score, inde, collector, filter, behavior, previous, neg, document, 
highlight, simpleanalyz, natur, sentenc, token, make, snippet, sure, els, 4906, 
passag, sentenc, top, capit, assert, highlight, gibberish, check, word, number, 
println, system, checkindex, docidtoid, po, check, expect, cross, doc, withpayloads=fals, 
resolut, lowercas, lucenetestcas, date, preced, default, explicitli, queryparsertestbas, localetz, test, 
licens, distribut, file, apach, asf, softwar, mai, see, agreement, contributor, 
2x, prefix, suffix, licens, distribut, file, apach, asf, softwar, mai, 
ref, println, system, testutil, randomsimplestr, field, byte, add, sub, term, 
admiss, fo, suggest, filter, half, score, search, top, foobar, num, 
prefixfilt, test, exist, non, valu, constantscorequeri, middl, combin, zero, prefix, 
collector, 1974, 273, booleanscor, orgjirabrowselucen, got, issu, int, bug, line, 
prefixqueri, class, test, licens, distribut, file, apach, asf, softwar, mai, 
prefix, random, prefixqueri, bunch, thru, simpl, queri, blast, impl, unicod, 
gettim, date, entri, increas, wasn, 1000, end, system, new, i3, 
assertqueryequ, \\, tq, assertequ, getterm, foo, qp, termqueri, asserthit, cjk, 
topic, hurt, avg_precis, prepar, judgment, recal, relev, m==0, logic, linedoc, 
synonym, dog, cjk, createminshouldmatchqueri, individu, multiphras, oper, inject, assertequ, four, 
licens, distribut, file, apach, asf, softwar, mai, see, agreement, contributor, 
querynodeimpl, 2227, bug, lucen, lot, parent, effect, process, kei, befor, 
synonym, oper, querypars, protect, multiphras, expect, queri, dog, superclass, behavior, 
resort, oz, wizard, num=, ordinari, idtonum, booleanqueri, phrasequeri, num, extra, 
templat, queri, queryformproperti, xml, xsl, choic, form, helper, getproperti, test, 
4890, lucen, licens, distribut, file, apach, asf, softwar, mai, see, 
primit, queri, throw, query#createweight, complex, rule, approxim, rewrit, special, still, 
rafdirectori, test, licens, distribut, file, apach, asf, softwar, mai, see, 
ramdirectori, testcas, read_buffer_s, document, 1468, junit, open, cleanup, search, constructor, 
verbose=tru, dtest, inherit, superclass, ident, helper, print, debug, size, empti, 
soe, graph, caus, special, larg, pass, check, licens, distribut, file, 
nastier, todo, broken, unreach, graph, offset, make, random, arg, consumealltoken, 
sampl, chi, squar, 05, amort, count, en, 872_value_vs_p, hit, result, 
drill, boundari, expect, exist, hopefulli, count, correct, rang, comput, slow, 
licens, distribut, file, apach, asf, softwar, mai, see, agreement, contributor, 
rangetreedvformat, exot, byte, <<, wrap, reader, becaus, numericrangetreequeri, must, queri, 
trip, ratio, 6075, simpleratelimit, jenkin, slow, ratelimit, schedul, asserttru, fals, 
testdemo, demo, borrow, import, sync, grant, keep, void, dir, noth, 
wrap, executor, close, 3800, aw, preflex, thread, listen, expect, lucenetestcas, 
+i+, +reader, ssdv, println, system, rare, +j, +doc, leav, seg, 
precis, 7499, geohashprefixtre, nearli, disterrpct, dw, meter, 35, grid, 11, 
recyclingbyteblockalloc, testcas, randomli, free, zero, block, base, licens, distribut, file, 
recyclingintblockalloc, testcas, randomli, free, zero, block, base, licens, distribut, file, 
6046, paranoia, regular, 6713, smoke, lucen, prohibit, expens, catch, compil, 
licens, distribut, file, apach, asf, softwar, mai, see, agreement, contributor, 
dummi, match, term, licens, distribut, file, apach, asf, softwar, mai, 
4934, backtrack, 49343, contrib, brown, mostli, regex, quick, corner, lang, 
combo, 000, regexp, pattern, accord, valid, correct, oper, hit, gener, 
regexp, random, regexpqueri, utf16, stupid, bunch, thru, simpl, regular, sometim, 
synonym, helper, blast, analyz, random, method, string, test, null, null, 
bogu, argument, ensur, factori, test, simpl, result, licens, distribut, file, 
prevsyserr, super, type, \n, assumpt, println, err, failur, reproduc, messag, 
annot, repeat, reproduc, messag, right, test, licens, distribut, file, apach, 
licens, distribut, file, apach, asf, softwar, mai, see, agreement, contributor, 
basetestpf, reus, somewher, seed, popul, stuff, reproduc, fulli, realli, codec, 
positionlengthattribut, properli, blast, support, analyz, random, string, todo, larg, licens, 
supplementari, medial, end, start, string, length, blast, analyz, random, null, 
revers, ensur, filter, bogu, argument, factori, test, actual, text, simpl, 
licens, distribut, file, apach, asf, softwar, mai, see, agreement, contributor, 
2536, enough, flush, small, caus, error, buffer, size, lucen, licens, 
licens, distribut, file, apach, asf, softwar, mai, see, agreement, contributor, 
read, char, slice, previou, next, licens, distribut, file, apach, asf, 
4455, memorycodec, updat, unref, stress, delet, awar, ed, regist, tri, 
stopword, test, stem, hebrew, classpath, npe, exclus, blast, miss, unicod, 
ea, mi, dtest, accident, assert, catch, lucenesolr, sure, match, packag, 
testrul, atomicrefer, deleg, via, anoth, contain, licens, distribut, file, apach, 
failur, repeat, maxfailur, test, assumptionviolatedexcept, scope, fail, annot, suit, quickli, 
suit, nest, marker, intellij, properti, execut, stand, interfac, alon, test, 
system#err, suit, stream, enforc, byte, success, atomicinteg, deleg, print, offend, 
failur, multiplefailureexcept, object, taint, assumptionviolatedexcept, mark, routin, suit, opposit, chain, 
properti, restor, systempropertiesrestorerul, rw, secur, snapshot, semant, manag, taken, whole, 
codec, avoid, suit, lucene41, ant, verbos, restrict, post, local, assertmemori, 
anywher, junk, grain, lucenetestcas, restor, prepar, fit, fine, els, level, 
overriden, obscur, lucenetestcase#teardown, lucenetestcase#setup, assum, teardown, unfortun, thei, chain, contract, 
suit, rule, execut, retriev, store, name, current, class, can, test, 
temporari, window, folder, suit, lucenetestcase#createtempdir, emul, along, queue, drain, don, 
lucenetestcase#istestthread, execut, thread, name, method, test, case, save, current, licens, 
pass, void, someth, never, like, licens, distribut, file, apach, asf, 
russiananalyz, doesnt, hebrew, discard, test, blast, unicod, correct, analyz, actual, 
russianlightstemfilt, vocabulari, blast, impl, refer, test, analyz, simpl, random, string, 
russian, light, bogu, argument, stem, ensur, factori, test, simpl, result, 
bytestoindex=, println, system, ~10, numdocs=, bytes=, numdoc, ident, target, realli, 
2011, trunk, reproduc, attempt, around, happen, abov, assert, error, doc, 
